regulator,target
MXI1,PER3
MXI1,EPHB2
BTF3,SSPN
MGA,NR3C1
MGA,PER3
GATA6,CAV1
HIF1A,EGLN3
HIF1A,NR3C1
HMGA1,CRYAB
FOXO1,SP100
FOXO1,LGALS3
FOXO1,ASAH1
ELI1,DLK1
ELI1,NR3C1
ELI1,ST3GAL4
ELI1,G0S2
ETV5,B2M
ETV5,LPL
ETV5,APOD
FOXO1,NR3C1
FOXO1,SYTL4
FOXO1,FHL2
FOXO1,G0S2
FOXO1,LPL
FOXO1,LPL
PPARG,CAV1
PPARG,DBI
PRDM1,MKI67
REL,EPHB2
RELA,LPL
ELK3,FHL2
ELK3,LGALS3
ELK3,LGALS3
ELK3,MKI67
ELK3,FHL2
ELK3,MKI67
SP1,CAV1
SP1,LPL
SP3,LPL
SP3,LPL
SREBF1,CAV1
SRF,FHL2
STAT6,EGLN3
TFAP2A,CRYAB
TFAP2A,NR3C1
TFAP2B,CRYAB
TFDP1,CAV1
FOXI1,CAV1
FOXI1,CRYAB
FOXI1,FRMD5
FOXI1,MKI67
FOXI1,B2M
FOXI1,B2M
FOXI1,NR3C1
FOXI1,FHL2
FOXI1,WT1
FOXI1,MYL9
FOXI1,COL2A1
FOXI1,MYCN
SOX9,COL2A1
HIF1A,EGLN3
PLAGL1,SDHB
RELA,NFKBIZ
MXI1,XPC
E2F1,APAF1
SP3,COL2A1
GATA1,WT1
NANOG,KLF2
NRF1,SDHB
AR,CDH11
HDAC2,CAD
STAT3,VEGFB
SMURF2,KLF5
EZH2,PEBP1
ELK1,TNFRSF10B
HDAC1,RGS10
JARID2,MYL7
MEF2D,CD14
EZH2,FOXC1
HIF1A,SDHB
SP1,F2R
HIVEP2,HLA-A
USF2,B2M
SP1,RORA
TP53,TNFRSF10B
GATA1,TBXA2R
DDIT3,TNFRSF10B
STAT3,DDIT3
KLF4,CD14
HDAC1,RELN
NFKB1,CRMP1
NFKB1,B2M
ZNF350,HMGA2
STAT1,JAK2
CNOT7,PMP22
YBX1,MYCN
SIRT1,TBX3
NOTCH3,APOD
SP1,TNFRSF10B
RB1,DDIT3
RELA,WT1
EP300,WT1
MYCN,HMGA1
ELK4,FOS
SP1,CAV1
ESR1,HSPB1
NFYC,FOS
ZNF382,IKBKE
HIF1A,XPC
CTNNB1,NRCAM
REL,EPHB2
PAX5,MYCN
SKI,FHL2
MITF,PRKCB
SP1,MYCN
ATF2,TGFB2
TP53,MKI67
HOXA9,MYCN
SP1,CETP
HIF1A,E2F3
NR3C1,NR3C1
NKX3-1,FOS
SP1,HMGA2
GATA2,WT1
ZBTB16,LEF1
WT1,VEGFB
YY1,CETP
RELA,TNFRSF10B
E2F1,DHFR
SP3,FGFR3
NCOR2,MYCN
ERG,ENG
RELA,LPL
ATF3,DDIT3
GATA3,FOXC1
RARA,MACROD1
YY1,VEGFB
TFAP2B,CRYAB
MYC,EP300
STAT3,JAK2
ESR1,FOS
ATF4,CEBPB
HDAC4,WT1
NFE2,TBXA2R
TFCP2,TYMS
NFKB1,TFPI2
USF2,TGFB2
MYB,NR3C1
NFKB1,TNFRSF10B
ZBTB7A,FOS
HNRNPD,KLF2
RELA,PPIG
RBMX,FOS
USF1,B2M
HSF2,FOS
GLI2,TNFRSF10B
SP1,APAF1
RB1,E2F2
HDAC2,MYCN
ATF4,DDIT4
HDAC5,WT1
DDIT3,TNFRSF10B
ERG,ENG
TEF,DBP
NFYA,DDIT3
SP3,LPL
ETS1,TBXA2R
STAT3,IKBKE
HLF,DBP
ATF4,DDIT3
CLOCK,NR3C1
MXI1,MYCN
STAT6,FOS
RUNX1,MYH10
HOXA7,KRT10
ELK4,FOS
JUN,ITGB8
ARNT,RELB
TP53,CRYAB
HIF1A,PFKFB3
MAL,MYL9
YY1,TNFRSF10B
SP1,TFPI2
RUNX1,MYL9
JUN,DDIT3
BRCA1,FOS
EGR1,PDGFB
TFAP2A,CRYAB
TP53,TYMS
PAX6,ITGA5
SP3,F2R
TBR1,RELN
FOS,DDIT3
SIRT1,NOTCH1
FUS,DDIT3
HMGA1,CRYAB
TWIST1,FOS
TFAP2A,HIP1
CIITA,HLA-A
CTNNBIP1,GLI2
PML,EP300
NCOA6,FOS
CNOT8,PMP22
HIF1A,NR3C1
NFKB1,COL2A1
E2F1,MYH10
BTF3,MRVI1
RUNX1,LGALS3
CREBBP,EP300
TWIST2,FOS
GABPA,ZNF205
ATF1,TGFB2
CREB1,AQP3
WT1,MYCN
NCOR1,G0S2
CTNNB1,GLI2
E2F1,MYCN
ENO1,MYCN
NR5A2,CETP
CREB1,UXT
NFKB1,NFKBIZ
TBP,FOS
JUN,RELB
RB1,FOS
NFKB1,LPL
SP1,MYCN
ESR1,CEBPB
EGR1,TBXA2R
SREBF1,SCD
SP1,RECK
SP2,CD14
KLF6,TFPI2
SRF,ACTA1
SRF,FOS
RELA,HLA-A
TFAP2A,F2R
HDAC1,RECK
SP3,LPL
SP4,FGFR3
BRCA1,JAK2
PPARA,LPL
FOXO1,PDGFB
ATF6,DDIT3
AR,PEBP1
JUN,LGALS3
CEBPD,DDIT3
E2F1,HMGA1
NFKB1,TNFRSF10B
TFDP1,DHFR
BRCA1,FOXC1
USF1,TYMS
RB1,E2F3
WT1,TBXA2R
ELK1,PDGFB
SP1,CD14
